Voter,Movie,Pick
Julianne Nicholson,The Great Beauty,9
Julianne Nicholson,Under the Skin,10
Patton Oswalt,A Serious Man,1
Patton Oswalt,Apocalypto,2
Patton Oswalt,Borat,3
Patton Oswalt,Children of Men,4
Patton Oswalt,City of God,5
Patton Oswalt,Coherence,6
Patton Oswalt,Luzzu,7
Patton Oswalt,Pig,8
Patton Oswalt,Playground,9
Patton Oswalt,The Nice Guys,10
Amy Pascal,Borat,1
Amy Pascal,Brokeback Mountain,2
Amy Pascal,"Crouching Tiger, Hidden Dragon",3
Amy Pascal,Get Out,4
Amy Pascal,Inglourious Basterds,5
Amy Pascal,Lady Bird,6
Amy Pascal,Parasite,7
Amy Pascal,Spider-Man: Into the Spider-Verse,8
Amy Pascal,The Dark Knight,9
Amy Pascal,The Social Network,10
Paula Poundstone,Bridesmaids,1
Paula Poundstone,Inside Out,2
Paula Poundstone,Jojo Rabbit,3
Paula Poundstone,Little Miss Sunshine,4
Paula Poundstone,Parasite,5
Paula Poundstone,The Dark Knight,6
Paula Poundstone,The Grand Budapest Hotel,7
Paula Poundstone,Toy Story 3,8
Paula Poundstone,Up,9
Paula Poundstone,WALL·E,10
Molly Ringwald,Brokeback Mountain,1
Molly Ringwald,Call Me by Your Name,2
Molly Ringwald,Eighth Grade,3
Molly Ringwald,Get Out,4
Molly Ringwald,In the Mood for Love,5
Molly Ringwald,La La Land,6
Molly Ringwald,Lost in Translation,7
Molly Ringwald,Parasite,8
Molly Ringwald,Spirited Away,9
Molly Ringwald,The Zone of Interest,10
Benny Safdie,A Prophet,1
Benny Safdie,American Gangster,2
Benny Safdie,Dunkirk,3
Benny Safdie,Mulholland Drive,4
Benny Safdie,"O Brother, Where Art Thou?",5
Benny Safdie,Punch-Drunk Love,6
Benny Safdie,Senna,7
Benny Safdie,Team America: World Police,8
Benny Safdie,The Royal Tenenbaums,9
Benny Safdie,The Wolf of Wall Street,10
Josh Safdie,A Serious Man,1
Josh Safdie,Behind the Candelabra,2
Josh Safdie,Frownland,3
Josh Safdie,Little Otik,4
Josh Safdie,Memories of Murder,5
Josh Safdie,Mulholland Drive,6
Josh Safdie,Snow on tha Bluff,7
Josh Safdie,The Departed,8
Josh Safdie,There Will Be Blood,9
Josh Safdie,Unfaithful,10
Curtis Sittenfeld,Barbie,1
Curtis Sittenfeld,Booksmart,2
Curtis Sittenfeld,Brokeback Mountain,3
Curtis Sittenfeld,Eternal Sunshine of the Spotless Mind,4
Curtis Sittenfeld,Ex Machina,5
Curtis Sittenfeld,Frozen,6
Curtis Sittenfeld,Interstellar,7
Curtis Sittenfeld,Palm Springs,8
Curtis Sittenfeld,Past Lives,9
Curtis Sittenfeld,The Big Sick,10
Celine Song,Children of Men,1
Celine Song,Computer Chess,2
Celine Song,Dogtooth,3
Celine Song,Dogville,4
Celine Song,I'm Not There,5
Celine Song,Incendies,6
Celine Song,Mad Max: Fury Road,7
Celine Song,Queer,8
Celine Song,"Synecdoche, New York",9
Celine Song,The Act of Killing,10
Nicholas Sparks,Avatar,1
Nicholas Sparks,Bohemian Rhapsody,2
Nicholas Sparks,Gladiator,3
Nicholas Sparks,Hereditary,4
Nicholas Sparks,Inception,5
Nicholas Sparks,Mad Max: Fury Road,6
Nicholas Sparks,Madagascar 3: Europe's Most Wanted,7
Nicholas Sparks,The Dark Knight,8
Nicholas Sparks,Top Gun: Maverick,9
Nicholas Sparks,Toy Story 3,10
Tramell Tillman,Anatomy of a Fall,1
Tramell Tillman,Best in Show,2
Tramell Tillman,Booksmart,3
Tramell Tillman,Chicago,4
Tramell Tillman,Dreamgirls,5
Tramell Tillman,If Beale Street Could Talk,6
Tramell Tillman,Inside Out,7
Tramell Tillman,Moonlight,8
Tramell Tillman,Parasite,9
Tramell Tillman,Whiplash,10
John Turturro,A Separation,1
John Turturro,Another Round,2
John Turturro,Boyhood,3
John Turturro,Decision to Leave,4
John Turturro,Oldboy,5
John Turturro,Parasite,6
John Turturro,Perfect Days,7
John Turturro,Spirited Away,8
John Turturro,Talk to Her,9
John Turturro,Toni Erdmann,10
John Waters,Annette,1
John Waters,Butt Boy,2
John Waters,Dancer in the Dark,3
John Waters,Domain,4
John Waters,Irréversible,5
John Waters,Jeannette: The Childhood of Joan of Arc,6
John Waters,Krisha,7
John Waters,Palindromes,8
John Waters,Porn Theatre,9
John Waters,United 93,10
Matthew Weiner,Anora,1
Matthew Weiner,In the Mood for Love,2
Matthew Weiner,Mulholland Drive,3
Matthew Weiner,Portrait of a Lady on Fire,4
Matthew Weiner,Spirited Away,5
Matthew Weiner,"Synecdoche, New York",6
Matthew Weiner,The Act of Killing,7
Matthew Weiner,The Lives of Others,8
Matthew Weiner,The Zone of Interest,9
Matthew Weiner,Tár,10
Edgar Wright,Gravity,1
Edgar Wright,Hero,2
Edgar Wright,Mad Max: Fury Road,3
Edgar Wright,Memories of Murder,4
Edgar Wright,Mulholland Drive,5
Edgar Wright,No Country for Old Men,6
Edgar Wright,Oldboy,7
Edgar Wright,Once Upon a Time... in Hollywood,8
Edgar Wright,Songs from the Second Floor,9
Edgar Wright,The Worst Person in the World,10
Rachel Zegler,Birdman or (The Unexpected Virtue of Ignorance),1
